시군구,동,매칭매물수,평균예약률%,평균점유율%,실질배수(중앙),단순배수(중앙),이득지수(예약기준),이득지수(점유기준),네이버실질월(중앙),삼삼월환산(중앙)
동대문구,답십리동,20,2.2,2.5,1.61,1.79,0.04,0.04,900000,1346950
동대문구,청량리동,7,1.1,1.1,2.82,3.38,0.03,0.03,677500,1911800
수원시 팔달구,중동,5,1.6,1.6,1.21,1.26,0.02,0.02,575000,695200
용산구,한강로3가,23,0.0,0.0,3.91,4.11,0.0,0.0,1515000,5778850
마포구,상암동,5,0.0,0.0,5.41,5.74,0.0,0.0,850000,4595972
중구,중산동,7,0.0,0.0,3.02,3.1,0.0,0.0,360000,1086250
동대문구,신설동,10,0.0,0.4,2.07,2.25,0.0,0.01,995000,1803175
미추홀구,주안동,6,0.0,0.0,1.95,2.03,0.0,0.0,691750,1238325
용인시 기흥구,신갈동,6,0.0,0.0,2.74,2.86,0.0,0.0,365000,999350
중구,의주로1가,15,0.0,0.0,2.08,2.17,0.0,0.0,1200000,2433200
동대문구,이문동,6,0.0,23.8,2.4,2.75,0.0,0.57,850000,2063875
영등포구,영등포동2가,8,0.0,18.4,1.83,3.02,0.0,0.34,833750,1542475
영등포구,영등포동5가,6,0.0,0.0,1.69,2.87,0.0,0.0,775000,1346950
구로구,개봉동,5,0.0,0.0,1.69,2.01,0.0,0.0,950000,1607650
성동구,용답동,11,0.4,4.4,1.34,1.45,0.0,0.06,937500,1303500
부천시 소사구,송내동,5,0.0,0.0,1.88,1.99,0.0,0.0,900000,1694550
남동구,간석동,5,0.0,0.0,1.57,1.64,0.0,0.0,553500,955900
