인근역,매물수,예약률(%),막힘률(%),점유율(%),공실률(%)
광안리센텀지역,1,13.3,0.0,13.3,86.7
배민배달지역,1,13.3,0.0,13.3,86.7
동암역,1,13.3,0.0,13.3,86.7
미아역,1,13.3,0.0,13.3,86.7
온천지하철역,3,12.2,0.0,12.2,87.8
송내역,1,10.0,0.0,10.0,90.0
도원역,1,10.0,0.0,10.0,90.0
문산역,3,6.7,0.0,6.7,93.3
수색역,1,6.7,0.0,6.7,93.3
수로왕릉역,1,6.7,0.0,6.7,93.3
공덕초역,1,0.0,6.7,6.7,93.3
황금역,1,3.3,0.0,3.3,96.7
간이역,1,3.3,0.0,3.3,96.7
시내전지역,1,0.0,3.3,3.3,96.7
금남로역,1,0.0,3.3,3.3,96.7
가까운역,1,0.0,0.0,0.0,100.0
낙성대역,1,0.0,0.0,0.0,100.0
부천시청역쇼핑초역,1,0.0,0.0,0.0,100.0
덕두역,1,0.0,0.0,0.0,100.0
인제대역,1,0.0,0.0,0.0,100.0
밀집구역,1,0.0,0.0,0.0,100.0
오시리아역,1,0.0,0.0,0.0,100.0
안산역,1,0.0,0.0,0.0,100.0
명동역,1,0.0,0.0,0.0,100.0
경대병원역,1,0.0,0.0,0.0,100.0
수유초역,1,0.0,0.0,0.0,100.0
부천상동역,1,0.0,0.0,0.0,100.0
