시도,시군구,매물수,예약률(%),막힘률(%),점유율(%),공실률(%)
충청북도,청주시 서원구,2,33.3,15.0,48.3,51.7
대전광역시,중구,2,33.3,15.0,48.3,51.7
경상남도,창원시 성산구,24,26.0,21.9,47.9,52.1
제주특별자치도,제주시,43,27.8,19.8,47.5,52.5
강원도,원주시,5,9.3,38.0,47.3,52.7
부산광역시,사하구,2,46.7,0.0,46.7,53.3
강원도,속초시,12,26.4,19.7,46.1,53.9
부산광역시,수영구,89,29.9,15.8,45.7,54.3
부산광역시,동구,24,31.5,14.0,45.6,54.4
경기도,안산시 단원구,62,33.3,12.3,45.5,54.5
경기도,의정부시,13,31.0,14.1,45.1,54.9
강원도,동해시,2,45.0,0.0,45.0,55.0
경상북도,경산시,15,43.1,1.1,44.2,55.8
광주광역시,동구,21,37.9,6.2,44.1,55.9
대전광역시,유성구,39,35.0,8.7,43.8,56.2
대구광역시,동구,62,33.6,10.0,43.6,56.4
부산광역시,남구,6,35.6,7.8,43.3,56.7
대구광역시,중구,25,33.2,9.7,42.9,57.1
부산광역시,동래구,3,0.0,42.2,42.2,57.8
서울특별시,강북구,7,40.0,1.9,41.9,58.1
부산광역시,중구,15,30.2,11.3,41.6,58.4
경상북도,안동시,4,40.8,0.0,40.8,59.2
광주광역시,서구,20,35.0,2.5,37.5,62.5
경상남도,창원시 진해구,11,20.3,17.0,37.3,62.7
전라남도,나주시,1,36.7,0.0,36.7,63.3
전라남도,목포시,6,35.6,0.0,35.6,64.4
부산광역시,강서구,10,34.0,0.7,34.7,65.3
경상남도,김해시,9,31.1,3.3,34.4,65.6
강원도,평창군,1,33.3,0.0,33.3,66.7
경기도,용인시 처인구,4,16.7,15.0,31.7,68.3
울산광역시,울주군,2,30.0,1.7,31.7,68.3
전라북도,익산시,3,30.0,0.0,30.0,70.0
경상남도,거제시,10,14.3,14.7,29.0,71.0
경상남도,통영시,4,26.7,0.0,26.7,73.3
대전광역시,대덕구,1,16.7,10.0,26.7,73.3
전라남도,무안군,6,25.6,0.0,25.6,74.4
전라남도,순천시,1,0.0,20.0,20.0,80.0
부산광역시,기장군,6,5.6,13.9,19.4,80.6
충청북도,증평군,3,14.4,0.0,14.4,85.6
충청북도,충주시,5,12.7,0.0,12.7,87.3
울산광역시,북구,3,0.0,6.7,6.7,93.3
경상북도,울진군,1,0.0,0.0,0.0,100.0
전라북도,전주시 완산구,1,0.0,0.0,0.0,100.0
