삼삼ID,매물명,건물유형,방수,시도,시군구,동,인근역,동삼삼매물수,평수,삼삼주당_만원,삼삼월환산_만원,1달예약일,1달막힘일,1달실현수익_만원,네이버월세_만원,네이버관리비_만원,관리비표기여부,네이버월총_만원,네이버보증금_만원,매칭매물수,네이버월총÷삼삼주당,실현효율(1달실현÷네이버월총),현실효율(1달실현÷네이버월세),순수익_만원(1달실현−월세−관리비),건물네이버매물수,건물월세최저_만원,건물월세중간_만원,건물월세최고_만원,네이버건물,네이버링크,삼삼링크
46065,선릉역2분대치동풀옵션🍑,오피스텔,원룸,서울특별시,강남구,대치동,선릉역,167,16,48.0,208.6,25,0,171.4,100.0,15.0,표기,115.0,1000.0,12,2.4,1.49,1.71,56.4,13,15,100,150,더나인,https://new.land.naver.com/offices?articleNo=2628652432,https://web.33m2.co.kr/guest/room/46065
99845,탄방CGV근처복층형원룸,오피스텔,원룸,대전광역시,서구,탄방동,탄방역,27,11,32.0,139.0,25,0,114.3,37,22.0,미표기(평당2만),59.0,500,1,1.84,1.94,3.09,55.3,4,37,37.0,53,하이플러스,https://new.land.naver.com/offices?articleNo=2629303045,https://web.33m2.co.kr/guest/room/99845
90405,고층 투룸 송현아1분,오피스텔,투룸,인천광역시,연수구,송도동,테크노파크역,161,18,93.0,404.1,6,14,149.5,80,15.0,표기,95.0,500,5,1.02,1.57,1.87,54.5,7,67,80,120,더샵송도트리플타워(SM1),https://new.land.naver.com/offices?articleNo=2629523194,https://web.33m2.co.kr/guest/room/90405
108770,베네스트 제기동역 신축,오피스텔,원룸,서울특별시,동대문구,용두동,제기동역,42,12,39.0,169.5,27,0,150.4,87.0,9.0,표기,96.0,1000.0,6,2.46,1.57,1.73,54.4,17,15,87,210,동대문베네스트2차,https://new.land.naver.com/offices?articleNo=2631941592,https://web.33m2.co.kr/guest/room/108770
55040,🎀일산호수공원 넓은집🎀,오피스텔,투룸,경기도,고양시 일산동구,장항동,정발산역,63,14,39.0,169.5,16,7,116.3,52,11.2,표기,63.2,500,7,1.62,1.84,2.24,53.1,22,5,52.5,70,양우로데오시티,https://new.land.naver.com/offices?articleNo=2631780179,https://web.33m2.co.kr/guest/room/55040
41636,시청역 덕수궁남산인근5,오피스텔,투룸,서울특별시,중구,북창동,시청역,22,16,107.0,464.9,18,0,275.1,190,32.0,미표기(평당2만),222.0,1000,13,2.07,1.24,1.45,53.1,18,90,190.0,250,브릴란테덕수궁,https://new.land.naver.com/offices?articleNo=2632098203,https://web.33m2.co.kr/guest/room/41636
82008,구디역5분거리A,오피스텔,원룸,서울특별시,구로구,구로동,구디역,93,9,28.0,121.7,18,0,72.0,15,5.0,표기,20.0,17700,1,0.71,3.6,4.8,52.0,1,15,15,15,몽삐에뜨3차,https://new.land.naver.com/offices?articleNo=2630412612,https://web.33m2.co.kr/guest/room/82008
18308,연산동 큐브아이,오피스텔,원룸,부산광역시,연제구,연산동,,66,9,23.0,99.9,29,0,95.3,38,6.0,표기,44.0,200,13,1.91,2.17,2.51,51.3,13,30,38,38,큐브아이,https://new.land.naver.com/offices?articleNo=2630634338,https://web.33m2.co.kr/guest/room/18308
42334,살아보자 복층풀옵7,오피스텔,원룸,충청북도,청주시 흥덕구,강서동,전지역,26,13,26.0,113.0,29,0,107.7,45,13.0,표기,58.0,300,1,2.23,1.86,2.39,49.7,3,45,75,75,신해블루지움,https://new.land.naver.com/offices?articleNo=2631814085,https://web.33m2.co.kr/guest/room/42334
68210,강남역세권 조용한원룸,오피스텔,원룸,서울특별시,서초구,서초동,강남역,289,9,30.5,132.5,29,0,126.4,60.0,18.0,미표기(평당2만),78.0,1000.0,6,2.56,1.62,2.11,48.4,6,55,60.0,65,동양라디안루키,https://new.land.naver.com/offices?articleNo=2628464086,https://web.33m2.co.kr/guest/room/68210
81269,이대병원 풀옵 고층뷰!,오피스텔,원룸,서울특별시,양천구,목동,오목교역,54,20,42.0,182.5,11,17,152.3,65,40.0,미표기(평당2만),105.0,1000,5,2.5,1.45,2.34,47.3,5,65,65,70,현대월드타워,https://new.land.naver.com/offices?articleNo=2629827449,https://web.33m2.co.kr/guest/room/81269
97927,알찬 공간 연수 ,오피스텔,원룸,인천광역시,연수구,연수동,연수역,8,5,20.0,86.9,29,0,82.9,26.0,10.0,미표기(평당2만),36.0,100.0,14,1.8,2.3,3.19,46.9,23,5,28,40,파티마,https://new.land.naver.com/offices?articleNo=2630609806,https://web.33m2.co.kr/guest/room/97927
41318,❤️당산역. 합정 몽키,오피스텔,투룸,서울특별시,영등포구,양평동4가,당산역,22,13,50.0,217.2,20,0,142.9,70,26.0,미표기(평당2만),96.0,1000,1,1.92,1.49,2.04,46.9,4,70,75.0,90,그랑드빌,https://new.land.naver.com/offices?articleNo=2628500373,https://web.33m2.co.kr/guest/room/41318
90556,20+층 투베드룸 ,오피스텔,투룸,인천광역시,연수구,송도동,테크노파크역,161,18,98.0,425.8,7,9,140.0,80,15.0,표기,95.0,500,5,0.97,1.47,1.75,45.0,7,67,80,120,더샵송도트리플타워(SM1),https://new.land.naver.com/offices?articleNo=2629523194,https://web.33m2.co.kr/guest/room/90556
70078,정자역 3분 투룸 4인,오피스텔,투룸,경기도,성남시 분당구,정자동,정자역,85,13,52.0,225.9,19,1,146.0,75,26.0,미표기(평당2만),101.0,1000,1,1.94,1.45,1.95,45.0,2,75,76.5,78,로얄비즈텔,https://new.land.naver.com/offices?articleNo=2631764111,https://web.33m2.co.kr/guest/room/70078
105229,종로 그린하우스 🏡,오피스텔,투룸,서울특별시,종로구,수송동,종각역,5,17,80.0,347.6,12,5,164.6,110,10.0,표기,120.0,1000,3,1.5,1.37,1.5,44.6,6,110,150.0,260,두산위브파빌리온,https://new.land.naver.com/offices?articleNo=2631558262,https://web.33m2.co.kr/guest/room/105229
105218,🌸잠실송파강남🌈복층🍀,오피스텔,원룸,서울특별시,송파구,잠실동,삼전역,75,9,37.0,160.8,24,0,126.9,65,18.0,미표기(평당2만),83.0,1000,1,2.24,1.53,1.95,43.9,2,45,55.0,65,동명하이텔,https://new.land.naver.com/offices?articleNo=2627827860,https://web.33m2.co.kr/guest/room/105218
104175,서면 중심지 풀옵션원룸,오피스텔,원룸,부산광역시,부산진구,부전동,서면역,73,9,25.0,108.6,22,0,78.6,30.0,5.0,표기,35.0,200.0,4,1.4,2.25,2.62,43.6,21,30,32,55,서면베르빌,https://new.land.naver.com/offices?articleNo=2631366151,https://web.33m2.co.kr/guest/room/104175
15570,#신중동역#복층#시티뷰,오피스텔,원룸,경기도,부천시 원미구,중동,신중동역,56,9,37.5,162.9,18,0,96.4,35,18.0,미표기(평당2만),53.0,500,1,1.41,1.82,2.75,43.4,7,33,55,57,코스모폴리탄,https://new.land.naver.com/offices?articleNo=2632526866,https://web.33m2.co.kr/guest/room/15570
14530,신축복층4인거주가능,오피스텔,원룸,서울특별시,서초구,서초동,교대역,289,8,68.0,295.5,21,0,204.0,145,16.0,미표기(평당2만),161.0,1000,1,2.37,1.27,1.41,43.0,12,145,230.0,250,엘루크반포,https://new.land.naver.com/offices?articleNo=2632456193,https://web.33m2.co.kr/guest/room/14530
34635,️❤️역3분/리버뷰할인,오피스텔,원룸,서울특별시,영등포구,양평동2가,양평역,24,8,37.0,160.8,19,0,100.4,50.0,8.0,표기,58.0,500.0,12,1.57,1.73,2.01,42.4,16,10,50.0,60,코업레지던스,https://new.land.naver.com/offices?articleNo=2631947362,https://web.33m2.co.kr/guest/room/34635
66787,💚서울대입구 신축고층💚,오피스텔,원룸,서울특별시,관악구,봉천동,서울대입구역,171,7,44.5,193.4,19,0,120.8,65,14.0,미표기(평당2만),79.0,5000,1,1.78,1.53,1.86,41.8,2,43,54.0,65,삼일,https://new.land.naver.com/offices?articleNo=2631337127,https://web.33m2.co.kr/guest/room/66787
65986,🌹블루핀 영남대 복층,오피스텔,투룸,경상북도,경산시,계양동,임당역,13,12,30.0,130.3,28,0,120.0,55,24.0,미표기(평당2만),79.0,500,3,2.63,1.52,2.18,41.0,21,50,75,90,블루핀임당제니스,https://new.land.naver.com/offices?articleNo=2631971851,https://web.33m2.co.kr/guest/room/65986
59405,상봉역 5분 더블복층!,오피스텔,원룸,서울특별시,중랑구,상봉동,상봉역,14,10,45.0,195.5,21,1,139.7,90.0,9.0,표기,99.0,1000.0,4,2.2,1.41,1.55,40.7,5,70,90,95,브르넨상봉,https://new.land.naver.com/offices?articleNo=2629902016,https://web.33m2.co.kr/guest/room/59405
80650,💜특가고잔역 라탄🌸,오피스텔,원룸,경기도,안산시 단원구,고잔동,특가고잔역,29,13,26.0,113.0,23,0,85.4,35,10.0,표기,45.0,500,3,1.73,1.9,2.44,40.4,3,35,35,40,두성타워빌,https://new.land.naver.com/offices?articleNo=2628923083,https://web.33m2.co.kr/guest/room/80650
94252,서면 트윈룸,오피스텔,원룸,부산광역시,부산진구,부전동,서면역,73,11,28.0,121.7,15,6,75.0,30,5.0,표기,35.0,200,7,1.25,2.14,2.5,40.0,21,30,32,55,서면베르빌,https://new.land.naver.com/offices?articleNo=2631859742,https://web.33m2.co.kr/guest/room/94252
106952,시티뷰,오피스텔,원룸,대전광역시,유성구,봉명동,온천역,50,14,31.0,134.7,21,0,93.0,26,28.0,미표기(평당2만),54.0,300,1,1.74,1.72,3.58,39.0,15,20,30,40,한진,https://new.land.naver.com/offices?articleNo=2627398886,https://web.33m2.co.kr/guest/room/106952
81102,하리앤_원인재역&연수역,오피스텔,원룸,인천광역시,연수구,연수동,원인재역,8,8,21.6,93.9,29,0,89.5,35,16.0,미표기(평당2만),51.0,300,1,2.36,1.75,2.56,38.5,23,5,28,40,파티마,https://new.land.naver.com/offices?articleNo=2631457753,https://web.33m2.co.kr/guest/room/81102
113665,하리앤_연수더블역세권✌️,오피스텔,원룸,인천광역시,연수구,연수동,연수더블역,8,5,19.0,82.6,27,0,73.3,26.0,10.0,미표기(평당2만),36.0,100.0,14,1.89,2.04,2.82,37.3,23,5,28,40,파티마,https://new.land.naver.com/offices?articleNo=2630609806,https://web.33m2.co.kr/guest/room/113665
63043,sale이대병원 이사 ,오피스텔,원룸,서울특별시,양천구,목동,신목동역,54,15,40.0,173.8,23,0,131.4,65,30.0,미표기(평당2만),95.0,1000,1,2.38,1.38,2.02,36.4,1,65,65,65,하이베라스,https://new.land.naver.com/offices?articleNo=2630495554,https://web.33m2.co.kr/guest/room/63043
83367,2-염창역 초특가 오피,오피스텔,원룸,서울특별시,강서구,염창동,염창역,33,8,35.0,152.1,12,1,62.1,10,16.0,미표기(평당2만),26.0,13200,1,0.74,2.39,6.21,36.1,1,10,10,10,대명투웨니퍼스트,https://new.land.naver.com/offices?articleNo=2629750510,https://web.33m2.co.kr/guest/room/83367
95019,🌈염창역2분 풀옵,오피스텔,원룸,서울특별시,강서구,염창동,염창역,33,8,36.0,156.4,12,0,61.7,10,16.0,미표기(평당2만),26.0,13200,1,0.72,2.37,6.17,35.7,1,10,10,10,대명투웨니퍼스트,https://new.land.naver.com/offices?articleNo=2629750510,https://web.33m2.co.kr/guest/room/95019
100370,광안리 고층 풀오션뷰,오피스텔,원룸,부산광역시,수영구,광안동,금련산역,143,10,45.0,195.5,12,8,105.2,60,10.0,표기,70.0,500,1,1.56,1.5,1.75,35.2,32,50,60.0,125,광안지웰에스테이트,https://new.land.naver.com/offices?articleNo=2628705922,https://web.33m2.co.kr/guest/room/100370
85114,✨킨텍스 호수공원 4명,오피스텔,투룸,경기도,고양시 일산동구,장항동,대화역,63,17,35.0,152.1,15,9,107.1,57,15.0,표기,72.0,500,5,2.06,1.49,1.88,35.1,6,10,56.0,70,청원레이크빌,https://new.land.naver.com/offices?articleNo=2629507621,https://web.33m2.co.kr/guest/room/85114
105119,카사모더나.언주역,오피스텔,원룸,서울특별시,강남구,역삼동,언주역,368,6,53.0,230.3,21,0,159.0,115,9.5,표기,124.5,1000,9,2.35,1.28,1.38,34.5,17,110,120,160,역삼노블루체언주,https://new.land.naver.com/offices?articleNo=2632025089,https://web.33m2.co.kr/guest/room/105119
88281,수락산역 1분 역세권,오피스텔,원룸,서울특별시,노원구,상계동,수락산역,39,16,32.0,139.0,21,0,96.0,55.0,7.0,표기,62.0,1000.0,10,1.94,1.55,1.75,34.0,10,50,55.0,70,오피앙,https://new.land.naver.com/offices?articleNo=2631803961,https://web.33m2.co.kr/guest/room/88281
81801,💗힐링공간 ✨강남데이트,오피스텔,원룸,서울특별시,서초구,서초동,,289,11,40.0,173.8,21,0,120.0,75,12.0,표기,87.0,1000,3,2.17,1.38,1.6,33.0,6,15,52.5,88,강남역파라디아골드,https://new.land.naver.com/offices?articleNo=2632483457,https://web.33m2.co.kr/guest/room/81801
68440,파노라마시티뷰💙홍대,오피스텔,원룸,서울특별시,마포구,서교동,홍대입구역,92,14,58.8,255.5,10,10,126.0,65,28.0,미표기(평당2만),93.0,500,1,1.58,1.35,1.94,33.0,5,65,75,85,서교타워,https://new.land.naver.com/offices?articleNo=2629835109,https://web.33m2.co.kr/guest/room/68440
95477,하리앤_구월 메인상권⭐️,오피스텔,원룸,인천광역시,남동구,구월동,예술회관역,38,12,25.0,108.6,19,9,96.9,40.0,24.0,미표기(평당2만),64.0,500.0,2,2.56,1.51,2.42,32.9,8,35,45.0,55,"이토타워,꼬르띨레",https://new.land.naver.com/offices?articleNo=2630913879,https://web.33m2.co.kr/guest/room/95477
75608,시청 명동 광화문 남산,오피스텔,투룸,서울특별시,중구,북창동,시청역,22,16,99.0,430.2,12,10,254.6,190,32.0,미표기(평당2만),222.0,1000,13,2.24,1.15,1.34,32.6,18,90,190.0,250,브릴란테덕수궁,https://new.land.naver.com/offices?articleNo=2632098203,https://web.33m2.co.kr/guest/room/75608
73701,목동역 목동사거리 투룸,오피스텔,투룸,서울특별시,강서구,등촌동,목동역,42,18,49.0,212.9,23,1,166.6,100,36.0,미표기(평당2만),136.0,5000,1,2.78,1.22,1.67,30.6,1,100,100,100,동양하우징,https://new.land.naver.com/offices?articleNo=2630456474,https://web.33m2.co.kr/guest/room/73701
14583,노형신축45평3침대3룸,오피스텔,쓰리룸+,제주특별자치도,제주시,노형동,,19,45,85.0,369.3,19,6,288.4,168.0,90.0,미표기(평당2만),258.0,1500.0,8,3.04,1.12,1.72,30.4,8,141,168.0,200,노형프레스티지125,https://new.land.naver.com/offices?articleNo=2632035692,https://web.33m2.co.kr/guest/room/14583
113516,아주대병원 풀옵션 광교,오피스텔,원룸,경기도,수원시 팔달구,우만동,광교중앙역,4,10,26.0,113.0,23,0,85.4,45,10.0,표기,55.0,500,3,2.12,1.55,1.9,30.4,3,38,45,45,트레보,https://new.land.naver.com/offices?articleNo=2631641957,https://web.33m2.co.kr/guest/room/113516
106361,부평구청역 편리한 방,오피스텔,원룸,인천광역시,부평구,부평동,부평구청역,50,13,30.0,130.3,24,1,106.4,53,26.0,미표기(평당2만),79.0,100,3,2.63,1.35,2.01,27.4,4,44,49.0,55,부평쌍용플래티넘,https://new.land.naver.com/offices?articleNo=2632365162,https://web.33m2.co.kr/guest/room/106361
49166,영등포_복층_힐링하우스,빌라,원룸,서울특별시,영등포구,영등포동2가,영등포시장역,12,10,38.0,165.1,29,0,157.4,110,20.0,미표기(평당2만),130.0,3000,1,3.42,1.21,1.43,27.4,1,110,110,110,성운힐스,https://new.land.naver.com/offices?articleNo=2632242395,https://web.33m2.co.kr/guest/room/49166
85851,🩵블루핀 영남대 복층,오피스텔,투룸,경상북도,경산시,계양동,임당역,13,12,31.0,134.7,24,0,106.3,55,24.0,미표기(평당2만),79.0,500,3,2.55,1.35,1.93,27.3,21,50,75,90,블루핀임당제니스,https://new.land.naver.com/offices?articleNo=2631971851,https://web.33m2.co.kr/guest/room/85851
106337,남향으로 채광좋고 밝음,오피스텔,원룸,경기도,안산시 상록구,본오동,상록수역,6,7,23.4,101.7,17,0,56.8,25,5.0,표기,30.0,100,7,1.28,1.89,2.27,26.8,13,5,25,35,우남센스빌,https://new.land.naver.com/offices?articleNo=2629442545,https://web.33m2.co.kr/guest/room/106337
18729,안산반달섬대부도오션뷰R,오피스텔,원룸,경기도,안산시 단원구,성곡동,고잔역,67,11,22.8,99.1,24,0,78.2,30.0,22.0,미표기(평당2만),52.0,150.0,126,2.28,1.5,2.61,26.2,175,26,30,50,라군센트럴스테이(생활숙박시설),https://new.land.naver.com/offices?articleNo=2631546783,https://web.33m2.co.kr/guest/room/18729
84392,🏠제기동역2분 풀옵복,오피스텔,투룸,서울특별시,동대문구,용두동,제기동역,42,17,79.0,343.3,6,16,145.1,85,34.0,미표기(평당2만),119.0,3000,1,1.51,1.22,1.71,26.1,17,15,87,210,동대문베네스트,https://new.land.naver.com/offices?articleNo=2630795506,https://web.33m2.co.kr/guest/room/84392
67115,광화문종로DDP복층4인,오피스텔,원룸,서울특별시,중구,흥인동,트리플역,13,11,51.0,221.6,17,4,142.9,95,22.0,미표기(평당2만),117.0,1000,1,2.29,1.22,1.5,25.9,1,95,95,95,동대문솔하임,https://new.land.naver.com/offices?articleNo=2631873589,https://web.33m2.co.kr/guest/room/67115
13086,광안리가 눈 앞에🌉,오피스텔,원룸,부산광역시,수영구,광안동,,143,11,38.0,165.1,17,1,95.5,60,10.0,표기,70.0,500,1,1.84,1.36,1.59,25.5,32,50,60.0,125,광안지웰에스테이트,https://new.land.naver.com/offices?articleNo=2628705922,https://web.33m2.co.kr/guest/room/13086
48896,애오개역 공덕 최저가,오피스텔,원룸,서울특별시,마포구,아현동,애오개역,26,9,30.0,130.3,13,12,92.9,60.0,8.0,표기,68.0,1000.0,10,2.27,1.37,1.55,24.9,12,55,60.0,100,고려아카데미텔,https://new.land.naver.com/offices?articleNo=2632514579,https://web.33m2.co.kr/guest/room/48896
48111,마포역2분컷 1.5룸🌞,오피스텔,원룸,서울특별시,마포구,도화동,마포역,94,10,47.0,204.2,14,3,104.4,65,15.0,표기,80.0,2000,5,1.7,1.31,1.61,24.4,6,65,65.0,80,고려아카데미텔2,https://new.land.naver.com/offices?articleNo=2632360173,https://web.33m2.co.kr/guest/room/48111
104602,🤩분리형 원룸 오피스텔,오피스텔,원룸,경기도,성남시 분당구,정자동,초초역,85,21,49.5,215.1,27,1,197.5,132.5,42.0,미표기(평당2만),174.5,1000.0,4,3.53,1.13,1.49,23.0,14,60,125.0,250,백궁동양파라곤,https://new.land.naver.com/offices?articleNo=2632518258,https://web.33m2.co.kr/guest/room/104602
68403,충남대 카이스트 유성,오피스텔,원룸,대전광역시,유성구,봉명동,유성온천역,50,15,20.0,86.9,21,7,78.3,26,30.0,미표기(평당2만),56.0,300,1,2.8,1.4,3.01,22.3,1,26,26,26,한진,https://new.land.naver.com/offices?articleNo=2627398886,https://web.33m2.co.kr/guest/room/68403
9922,RIRI-연수역&원인재,오피스텔,원룸,인천광역시,연수구,연수동,연수역,8,11,19.9,86.5,26,2,79.2,35,22.0,미표기(평당2만),57.0,300,3,2.86,1.39,2.26,22.2,3,35,35,38,미지프라임빌,https://new.land.naver.com/offices?articleNo=2631815482,https://web.33m2.co.kr/guest/room/9922
113137,브루니's Home,오피스텔,투룸,서울특별시,송파구,문정동,장지역,76,14,65.0,282.4,13,5,144.9,95.0,28.0,미표기(평당2만),123.0,1000.0,8,1.89,1.18,1.53,21.9,45,15,55,205,송파파크하비오푸르지오,https://new.land.naver.com/offices?articleNo=2630270546,https://web.33m2.co.kr/guest/room/113137
7271,라이크유S1/16평,오피스텔,투룸,경기도,고양시 일산동구,장항동,정발산역,63,16,40.0,173.8,14,4,92.3,56.0,15.0,표기,71.0,500.0,4,1.77,1.3,1.65,21.3,6,10,56.0,70,청원레이크빌,https://new.land.naver.com/offices?articleNo=2629507621,https://web.33m2.co.kr/guest/room/7271
56854,"씨티뷰,초역세권,3룸",오피스텔,쓰리룸+,서울특별시,강남구,삼성동,삼성중앙역,99,18,85.0,369.3,22,0,267.1,210,36.0,미표기(평당2만),246.0,3000,1,2.89,1.09,1.27,21.1,7,30,210,240,프레스티지,https://new.land.naver.com/offices?articleNo=2632303159,https://web.33m2.co.kr/guest/room/56854
21788,9호선 급행역,오피스텔,원룸,서울특별시,강서구,염창동,급행역,33,8,36.0,156.4,9,0,46.3,10,16.0,미표기(평당2만),26.0,13200,1,0.72,1.78,4.63,20.3,1,10,10,10,대명투웨니퍼스트,https://new.land.naver.com/offices?articleNo=2629750510,https://web.33m2.co.kr/guest/room/21788
93970,왕십리역3분6인가능복층,오피스텔,원룸,서울특별시,성동구,도선동,왕십리역,20,10,40.0,173.8,22,4,145.1,105.0,20.0,미표기(평당2만),125.0,1000.0,2,3.12,1.16,1.38,20.1,4,10,95.0,110,한성아펠타워,https://new.land.naver.com/offices?articleNo=2628074126,https://web.33m2.co.kr/guest/room/93970
43975,동대구역1분 투룸&뷰♡,오피스텔,투룸,대구광역시,동구,신천동,동대구역,50,16,43.0,186.8,15,0,92.1,40.0,32.0,미표기(평당2만),72.0,500.0,12,1.67,1.28,2.3,20.1,12,40,40.0,50,서한코보스카운티,https://new.land.naver.com/offices?articleNo=2631620168,https://web.33m2.co.kr/guest/room/43975
108072,동성로 봉산동 반월당역,오피스텔,원룸,대구광역시,중구,봉산동,반월당역,11,10,30.0,130.3,19,1,84.2,44.5,20.0,미표기(평당2만),64.5,500.0,6,2.15,1.31,1.89,19.7,7,43,44,45,스카이랜드,https://new.land.naver.com/offices?articleNo=2632284631,https://web.33m2.co.kr/guest/room/108072
58695,코지하우스 정자역1분,오피스텔,원룸,경기도,성남시 분당구,정자동,정자역,85,16,58.0,252.0,3,25,149.1,97.5,32.0,미표기(평당2만),129.5,1000.0,6,2.23,1.15,1.53,19.6,14,60,125.0,250,백궁동양파라곤,https://new.land.naver.com/offices?articleNo=2631395697,https://web.33m2.co.kr/guest/room/58695
80178,송파 더블하우스 투룸,오피스텔,투룸,서울특별시,송파구,문정동,장지역,76,15,78.0,338.9,12,2,143.3,95.0,30.0,미표기(평당2만),125.0,1000.0,8,1.6,1.15,1.51,18.3,45,15,55,205,송파파크하비오푸르지오,https://new.land.naver.com/offices?articleNo=2630270546,https://web.33m2.co.kr/guest/room/80178
58411,송파위례 복층오피스텔,오피스텔,원룸,서울특별시,송파구,거여동,장지역,4,8,38.0,165.1,21,0,114.0,80,16.0,미표기(평당2만),96.0,1000,13,2.53,1.19,1.43,18.0,16,10,77.5,95,수아주,https://new.land.naver.com/offices?articleNo=2632516749,https://web.33m2.co.kr/guest/room/58411
28117,불광/종로/주차(4인),오피스텔,투룸,서울특별시,은평구,불광동,불광역,19,10,44.0,191.2,16,1,104.0,80,7.0,표기,87.0,2000,1,1.98,1.2,1.3,17.0,2,10,45.0,80,경인에버빌(274-7),https://new.land.naver.com/offices?articleNo=2627752894,https://web.33m2.co.kr/guest/room/28117
73812,서면역4분 ☀️따숩하우스,오피스텔,원룸,부산광역시,부산진구,부전동,서면역,73,8,28.0,121.7,13,0,52.0,30.0,5.0,표기,35.0,200.0,4,1.25,1.49,1.73,17.0,21,30,32,55,서면베르빌,https://new.land.naver.com/offices?articleNo=2631366151,https://web.33m2.co.kr/guest/room/73812
99254,20평 인사동 부띠크,오피스텔,원룸,서울특별시,종로구,견지동,종각역,1,20,66.0,286.8,18,0,169.7,130,25.0,표기,155.0,2000,1,2.35,1.09,1.31,14.7,1,130,130,130,우정에쉐르,https://new.land.naver.com/offices?articleNo=2631576095,https://web.33m2.co.kr/guest/room/99254
67242,🍀블루핀 영남대 복층,오피스텔,투룸,경상북도,경산시,계양동,임당역,13,12,31.0,134.7,21,0,93.0,55,24.0,미표기(평당2만),79.0,500,3,2.55,1.18,1.69,14.0,21,50,75,90,블루핀임당제니스,https://new.land.naver.com/offices?articleNo=2631971851,https://web.33m2.co.kr/guest/room/67242
75268,특가 롯백더블역세권탑층,오피스텔,원룸,부산광역시,부산진구,부전동,롯백더블역,73,9,27.9,121.2,12,0,47.8,30.0,5.0,표기,35.0,200.0,4,1.25,1.37,1.59,12.8,21,30,32,55,서면베르빌,https://new.land.naver.com/offices?articleNo=2631366151,https://web.33m2.co.kr/guest/room/75268
90554,하이츠 힐링 하우스,오피스텔,원룸,경기도,안산시 단원구,성곡동,원시역,67,7,26.0,113.0,17,0,63.1,36.5,14.0,미표기(평당2만),50.5,150.0,10,1.94,1.25,1.73,12.6,13,32,40,90,중앙하이츠마레,https://new.land.naver.com/offices?articleNo=2632314553,https://web.33m2.co.kr/guest/room/90554
78142,✈️제주공항.제주중심D,오피스텔,원룸,제주특별자치도,제주시,노형동,,19,8,22.0,95.6,20,0,62.9,35,16.0,미표기(평당2만),51.0,100,1,2.32,1.23,1.8,11.9,3,35,37,38,메르헨하우스3,https://new.land.naver.com/offices?articleNo=2631576950,https://web.33m2.co.kr/guest/room/78142
106259,잠실 투룸 수서 강남💥,오피스텔,투룸,서울특별시,송파구,문정동,장지역,76,14,85.0,369.3,11,0,133.6,95.0,28.0,미표기(평당2만),123.0,1000.0,8,1.45,1.09,1.41,10.6,45,15,55,205,송파파크하비오푸르지오,https://new.land.naver.com/offices?articleNo=2630270546,https://web.33m2.co.kr/guest/room/106259
35817,쾌적하고 깔끔한 목동방,오피스텔,원룸,서울특별시,양천구,목동,선유도역,54,15,40.0,173.8,16,4,105.5,65,30.0,미표기(평당2만),95.0,1000,1,2.38,1.11,1.62,10.5,1,65,65,65,하이베라스,https://new.land.naver.com/offices?articleNo=2630495554,https://web.33m2.co.kr/guest/room/35817
55363,넓은집 뻥뷰(시화공단),오피스텔,원룸,경기도,시흥시,정왕동,정왕역,22,10,22.0,95.6,16,1,52.0,33.0,8.5,표기,41.5,450.0,2,1.89,1.25,1.58,10.5,6,32,37.0,40,파인힐,https://new.land.naver.com/offices?articleNo=2631322861,https://web.33m2.co.kr/guest/room/55363
78973,광교 테라스 오피스텔 ,오피스텔,원룸,경기도,수원시 영통구,이의동,광교중앙역,56,6,32.0,139.0,18,0,82.3,60,12.0,미표기(평당2만),72.0,500,3,2.25,1.14,1.37,10.3,8,9,47.5,60,광교더로프트,https://new.land.naver.com/offices?articleNo=2631881240,https://web.33m2.co.kr/guest/room/78973
63620,🤎NEW🤎 공덕/애오개,오피스텔,원룸,서울특별시,마포구,아현동,애오개역,26,11,33.0,143.4,16,1,78.0,60.0,8.0,표기,68.0,1000.0,10,2.06,1.15,1.3,10.0,12,55,60.0,100,고려아카데미텔,https://new.land.naver.com/offices?articleNo=2632514579,https://web.33m2.co.kr/guest/room/63620
56846,천호풀옵션 공항버스1분,오피스텔,원룸,서울특별시,강동구,천호동,천호역,82,9,49.0,212.9,14,0,98.0,80,8.9,표기,88.9,1000,7,1.81,1.1,1.23,9.1,7,80,80,85,로데오팰리스,https://new.land.naver.com/offices?articleNo=2631137805,https://web.33m2.co.kr/guest/room/56846
61165,문현금융단지 도보5분,오피스텔,원룸,부산광역시,부산진구,전포동,범내골역,52,16,22.0,95.6,21,2,70.7,30,32.0,미표기(평당2만),62.0,300,1,2.82,1.14,2.36,8.7,4,30,31.5,35,유성넥스빌,https://new.land.naver.com/offices?articleNo=2630256244,https://web.33m2.co.kr/guest/room/61165
32894,편안한 나만의 공간,오피스텔,원룸,대구광역시,달서구,감삼동,죽전역,12,14,26.0,113.0,22,0,81.7,45,28.0,미표기(평당2만),73.0,500,13,2.81,1.12,1.82,8.7,14,25,45.0,50,죽전역한양아이클래스,https://new.land.naver.com/offices?articleNo=2632646715,https://web.33m2.co.kr/guest/room/32894
90411,구디역5분거리B,오피스텔,원룸,서울특별시,구로구,구로동,구디역,93,9,28.0,121.7,7,0,28.0,15,5.0,표기,20.0,17700,1,0.71,1.4,1.87,8.0,1,15,15,15,몽삐에뜨3차,https://new.land.naver.com/offices?articleNo=2630412612,https://web.33m2.co.kr/guest/room/90411
